id_EXIST,lang,text,female_yes_rate,male_yes_rate,gender_yes_rate_gap_abs,age_18_22_yes_rate,age_23_45_yes_rate,age_46_plus_yes_rate,age_yes_rate_range
100001,es,"@TheChiflis Ignora al otro, es un capullo.El problema con este youtuber denuncia el acoso... cuando no afecta a la gente de izquierdas. Por ejemplo, en su video sobre el gamergate presenta como ""normal"" el acoso que reciben Fisher, Anita o Zöey cuando hubo hasta amenazas de bomba.",0.6666666666666666,1.0,0.33333333333333337,1.0,1.0,0.5,0.5
100002,es,@ultimonomada_ Si comicsgate se parece en algo a gamergate pues muy bien por el acoso. Y si se está haciendo un sabotaje porque hay personajes que no os gustan entonces gracias por darme la razón. Sois unos lloricas ofendidos.,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.5
100003,es,"@Steven2897 Lee sobre Gamergate, y como eso ha cambiado la manera en la cual nos comunicamos en el internet. Los fanboys de Halo están tóxicos pero los fanboys de otras comunidades/juegos también han querido coger pauta con eso 🤷🏾‍♂️",0.0,0.0,0.0,0.0,0.0,0.0,0.0
100004,es,"@Lunariita7 Un retraso social bastante lamentable, gamergate, trump, y aquí en españa pues lo que tenemos...",0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.0
100005,es,"@novadragon21 @icep4ck @TvDannyZ Entonces como así es el mercado lo mejor no es hacer algo para cambiarlo y seguir alimentando el machismo en los consumidores en lugar apoyar a gente como las víctimas del gamergate.Acerca de lo otro, el ""tenían"" implica un imperativo entonces no entiendo lo del buscaban.",0.6666666666666666,0.6666666666666666,0.0,1.0,0.5,0.5,0.5
100006,es,"@yonkykong Aaah sí. Andrew Dobson. El que se dedicó a echar mierda del gamergate al más puro estilo white knight, y todo deviantart se le echó encima",0.0,0.0,0.0,0.0,0.0,0.0,0.0
100007,es,"@glutamatom @JoaquinAdolfoC Estaba del lado del Gamergate si mal no recuerdo. Encaja con el perfil de THQ Nordic, lol",0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.0
100008,es,"@BestKabest Esta gringa sigue llorando por el gamergate, que ""coincidencia"" que tenga pronombres en su perfil",1.0,1.0,0.0,1.0,1.0,1.0,0.0
100009,es,.¿Conoces la #DECORACION #estilo #GAMER para #adolescentes  ?Te lo explicamos en nuestro #post : ❤️ https://t.co/NuSNs36GIT¿Nos sigues?#inspiracionalcuadrado #interiorismo #homedecorideas #Madrid #chamberi #Salamanca #gamers #GAMERGATE #gamergirl https://t.co/Mcibiy8YdX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100010,es,CES 2022 ASUS ROG Rise of Gamers Evento de lanzamiento https://t.co/CjqHQwxMFD #AMD2022 #AMD #AMDRedTeam #AMDRyzen #Intel #nvidia #NVIDIAOmniverse #NVIDIAGeForce #NVIDIAStudio #gamergirl #gamers #GamerGate #GamersUnite #gameroom #StockMarket #stocks #StocksToBuy #Stock,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.5,0.5
100011,es,"@Lorebrou16 @arrobaDonko Mierda, me siento vieja cuando decís Gamergate, que bardo .__.XD",0.0,0.0,0.0,0.0,0.0,0.0,0.0
100012,es,"@Recuenco @qlopdopis Bannon tiene también historia.Aquí hablan de él, buen podcast, #16 - los ganadores de Gamergate https://t.co/nnfOHYhbrw",0.0,0.0,0.0,0.0,0.0,0.0,0.0
